,Current Kills,Current Deaths,Health,Map Name,Weapon Name,Weapon Clip Size,Current Ammo,Player Team Score,Enemy Team Score,Timestamp,SessionID
0,0,0,100,de_mirage,weapon_glock,20,20,1,0,2021-01-09 17:22:07.530000,0
1,0,0,100,de_mirage,weapon_awp,10,10,1,0,2021-01-09 17:22:07.620000,0
2,0,0,100,de_mirage,weapon_awp,10,10,0,0,2021-01-09 17:22:08.020000,0
3,0,1,100,de_mirage,weapon_galilar,35,35,0,0,2021-01-09 17:22:21.850000,0
4,0,2,100,de_mirage,weapon_glock,20,20,0,0,2021-01-09 17:22:30.770000,0
5,0,2,100,de_mirage,weapon_m4a1_silencer,25,25,0,0,2021-01-09 17:22:31.000000,0
6,0,2,100,de_mirage,weapon_m4a1_silencer,25,24,0,0,2021-01-09 17:22:32.830000,0
7,0,2,100,de_mirage,weapon_m4a1_silencer,25,23,0,0,2021-01-09 17:22:32.990000,0
8,0,2,100,de_mirage,weapon_m4a1_silencer,25,22,0,0,2021-01-09 17:22:33.020000,0
9,0,2,100,de_mirage,weapon_m4a1_silencer,25,21,0,0,2021-01-09 17:22:33.270000,0
10,0,2,100,de_mirage,weapon_m4a1_silencer,25,20,0,0,2021-01-09 17:22:33.330000,0
11,0,2,100,de_mirage,weapon_m4a1_silencer,25,19,0,0,2021-01-09 17:22:33.460000,0
12,0,2,100,de_mirage,weapon_m4a1_silencer,25,17,0,0,2021-01-09 17:22:33.580000,0
13,0,2,100,de_mirage,weapon_m4a1_silencer,25,16,0,0,2021-01-09 17:22:33.710000,0
14,0,2,100,de_mirage,weapon_m4a1_silencer,25,15,0,0,2021-01-09 17:22:33.740000,0
15,0,2,100,de_mirage,weapon_m4a1_silencer,25,14,0,0,2021-01-09 17:22:33.900000,0
16,0,2,100,de_mirage,weapon_m4a1_silencer,25,13,0,0,2021-01-09 17:22:33.960000,0
17,0,2,100,de_mirage,weapon_m4a1_silencer,25,12,0,0,2021-01-09 17:22:34.080000,0
18,0,2,100,de_mirage,weapon_m4a1_silencer,25,11,0,0,2021-01-09 17:22:34.140000,0
19,1,2,100,de_mirage,weapon_m4a1_silencer,25,11,0,0,2021-01-09 17:22:34.200000,0
20,1,2,100,de_mirage,weapon_m4a1_silencer,25,10,0,0,2021-01-09 17:22:34.270000,0
21,1,2,100,de_mirage,weapon_m4a1_silencer,25,8,0,0,2021-01-09 17:22:34.490000,0
22,1,2,100,de_mirage,weapon_m4a1_silencer,25,7,0,0,2021-01-09 17:22:34.550000,0
23,1,2,100,de_mirage,weapon_m4a1_silencer,25,6,0,0,2021-01-09 17:22:34.610000,0
24,1,2,100,de_mirage,weapon_usp_silencer,12,12,0,0,2021-01-09 17:22:35.790000,0
25,1,2,100,de_mirage,weapon_usp_silencer,12,11,0,0,2021-01-09 17:22:39.550000,0
26,1,2,100,de_mirage,weapon_usp_silencer,12,10,0,0,2021-01-09 17:22:39.760000,0
27,1,2,100,de_mirage,weapon_usp_silencer,12,9,0,0,2021-01-09 17:22:40.260000,0
28,1,2,100,de_mirage,weapon_usp_silencer,12,8,0,0,2021-01-09 17:22:41.070000,0
29,1,2,100,de_mirage,weapon_usp_silencer,12,7,0,0,2021-01-09 17:22:41.680000,0
30,1,2,100,de_mirage,weapon_usp_silencer,12,6,0,0,2021-01-09 17:22:41.990000,0
31,1,2,100,de_mirage,weapon_usp_silencer,12,5,0,0,2021-01-09 17:22:42.330000,0
32,1,2,100,de_mirage,weapon_usp_silencer,12,4,0,0,2021-01-09 17:22:42.640000,0
33,2,2,100,de_mirage,weapon_usp_silencer,12,4,0,0,2021-01-09 17:22:42.710000,0
34,2,2,100,de_mirage,weapon_m4a1,30,30,0,0,2021-01-09 17:22:43.920000,0
35,2,2,100,de_mirage,weapon_m4a1,30,29,0,0,2021-01-09 17:22:45.730000,0
36,3,2,100,de_mirage,weapon_m4a1,30,29,0,0,2021-01-09 17:22:45.790000,0
37,3,2,100,de_mirage,weapon_m4a1,30,28,0,0,2021-01-09 17:22:45.950000,0
38,3,2,100,de_mirage,weapon_m4a1,30,26,0,0,2021-01-09 17:22:46.010000,0
39,3,2,100,de_mirage,weapon_m4a1,30,30,0,0,2021-01-09 17:22:47.180000,0
40,0,0,100,de_mirage,weapon_usp_silencer,12,12,0,0,2021-01-09 17:22:48.590000,0
41,0,0,100,de_mirage,weapon_usp_silencer,12,11,0,0,2021-01-09 17:23:31.200000,0
42,0,0,100,de_mirage,weapon_usp_silencer,12,10,0,0,2021-01-09 17:23:32.290000,0
43,0,0,100,de_mirage,weapon_usp_silencer,12,9,0,0,2021-01-09 17:23:32.440000,0
44,0,0,100,de_mirage,weapon_usp_silencer,12,8,0,0,2021-01-09 17:23:32.570000,0
45,0,0,100,de_mirage,weapon_usp_silencer,12,7,0,0,2021-01-09 17:23:33.840000,0
46,0,0,100,de_mirage,weapon_usp_silencer,12,6,0,0,2021-01-09 17:23:33.960000,0
47,1,0,100,de_mirage,weapon_usp_silencer,12,5,0,0,2021-01-09 17:23:34.270000,0
48,1,0,100,de_mirage,weapon_usp_silencer,12,4,0,0,2021-01-09 17:23:34.820000,0
49,1,0,100,de_mirage,weapon_usp_silencer,12,3,0,0,2021-01-09 17:23:35.070000,0
50,1,0,100,de_mirage,weapon_usp_silencer,12,2,0,0,2021-01-09 17:23:35.420000,0
51,1,0,86,de_mirage,weapon_usp_silencer,12,1,0,0,2021-01-09 17:23:35.770000,0
52,1,0,72,de_mirage,weapon_usp_silencer,12,1,0,0,2021-01-09 17:23:36.150000,0
53,1,0,72,de_mirage,weapon_usp_silencer,12,0,0,0,2021-01-09 17:23:36.240000,0
54,1,0,58,de_mirage,weapon_usp_silencer,12,0,0,0,2021-01-09 17:23:36.520000,0
55,1,0,58,de_mirage,weapon_usp_silencer,12,12,0,0,2021-01-09 17:23:37.440000,0
56,1,0,58,de_mirage,weapon_usp_silencer,12,11,0,0,2021-01-09 17:23:39.340000,0
57,1,0,47,de_mirage,weapon_usp_silencer,12,10,0,0,2021-01-09 17:23:39.470000,0
58,1,0,47,de_mirage,weapon_usp_silencer,12,9,0,0,2021-01-09 17:23:39.650000,0
59,1,0,47,de_mirage,weapon_usp_silencer,12,8,0,0,2021-01-09 17:23:39.910000,0
60,1,1,100,de_mirage,weapon_usp_silencer,12,12,0,1,2021-01-09 17:23:45.040000,0
61,1,1,100,de_mirage,weapon_p250,13,13,0,1,2021-01-09 17:23:48.340000,0
62,1,1,100,de_mirage,weapon_p250,13,13,0,1,2021-01-09 17:23:51.670000,0
63,1,1,100,de_mirage,weapon_p250,13,13,0,1,2021-01-09 17:24:17.330000,0
64,1,1,100,de_mirage,weapon_p250,13,12,0,1,2021-01-09 17:25:13.320000,0
65,1,1,100,de_mirage,weapon_p250,13,11,0,1,2021-01-09 17:25:13.750000,0
66,1,1,76,de_mirage,weapon_p250,13,11,0,1,2021-01-09 17:25:15.330000,0
67,1,1,51,de_mirage,weapon_p250,13,11,0,1,2021-01-09 17:25:15.450000,0
